City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
145,Yar-Sale,RU,2022-12-09 20:46:29,66.8333,70.8333,-2.54,95,98,13.44
146,Road Town,VG,2022-12-09 20:45:20,18.4167,-64.6167,82.49,65,20,4.61
147,Klaksvik,FO,2022-12-09 20:41:16,62.2266,-6.589,38.32,70,100,28.9
148,Bardsir,IR,2022-12-09 20:46:30,29.9227,56.5743,39.47,70,76,2.73
149,Laguna,US,2022-12-09 20:46:31,38.421,-121.4238,55.06,68,0,4.61
150,Nyrob,RU,2022-12-09 20:46:31,60.733,56.7202,7.74,98,98,2.48
151,Itarema,BR,2022-12-09 20:46:31,-2.9248,-39.9167,79.95,78,90,14.79
152,Quelimane,MZ,2022-12-09 20:46:32,-17.8786,36.8883,76.03,85,0,1.61
153,San Cristobal,VE,2022-12-09 20:46:32,7.7669,-72.225,71.78,61,60,2.01
154,Padre Paraiso,BR,2022-12-09 20:46:33,-17.0742,-41.4844,71.69,91,31,1.99
155,Mitu,CO,2022-12-09 20:46:33,1.1983,-70.1733,72.5,99,100,0.69
156,Banda Aceh,ID,2022-12-09 20:46:34,5.5577,95.3222,76.73,86,100,10.07
157,Santa Maria,BR,2022-12-09 20:46:34,-29.6842,-53.8069,96.1,20,0,10.36
158,Westerstede,DE,2022-12-09 20:46:35,53.25,7.9333,34.16,92,13,6.33
159,Maceio,BR,2022-12-09 20:46:35,-9.6658,-35.7353,81.84,78,20,14.97
160,Albany,US,2022-12-09 20:41:59,42.6001,-73.9662,38.73,49,1,1.01
161,Kristiansund,NO,2022-12-09 20:46:36,63.1115,7.732,25.45,63,0,4.61
162,Rawson,AR,2022-12-09 20:46:36,-43.3002,-65.1023,74.28,25,42,15.26
163,Corralillo,CU,2022-12-09 20:46:37,22.9819,-80.5856,77.97,59,7,12.8
164,Tobol,KZ,2022-12-09 20:46:37,52.6844,62.5794,-1.14,86,16,7.11
165,East London,ZA,2022-12-09 20:46:38,-33.0153,27.9116,73.65,89,37,12.24
166,Belyy Yar,RU,2022-12-09 20:46:38,53.6039,91.3903,-23.91,83,92,0.0
167,Necochea,AR,2022-12-09 20:46:38,-38.5473,-58.7368,70.09,49,7,18.3
168,Morant Bay,JM,2022-12-09 20:46:39,17.8815,-76.4093,83.82,64,3,9.82
169,Margate,GB,2022-12-09 20:46:40,51.3813,1.3862,34.7,82,77,3.0
170,Boa Vista,BR,2022-12-09 20:46:40,2.8197,-60.6733,87.78,62,40,6.91
171,Upata,VE,2022-12-09 20:46:40,8.0086,-62.3989,76.77,76,99,3.18
172,Riviere-Au-Renard,CA,2022-12-09 20:46:41,48.9957,-64.3971,28.69,71,38,27.65
173,Naryan-Mar,RU,2022-12-09 20:46:41,67.6713,53.087,-8.88,100,36,1.88
174,Bastia,FR,2022-12-09 20:46:42,42.6667,9.3333,63.3,80,40,3.44
175,San Antonio,US,2022-12-09 20:42:18,29.4241,-98.4936,81.88,65,75,10.36
176,Viedma,AR,2022-12-09 20:46:42,-40.8135,-62.9967,80.37,14,55,16.2
177,Kattivakkam,IN,2022-12-09 20:46:43,13.2167,80.3167,77.09,91,88,29.21
178,Coihaique,CL,2022-12-09 20:46:43,-45.5752,-72.0662,59.61,58,75,11.5
179,Hobyo,SO,2022-12-09 20:46:44,5.3505,48.5268,79.23,76,63,15.88
180,Turukhansk,RU,2022-12-09 20:46:44,65.8167,87.9833,-8.12,99,100,8.05
181,Peabiru,BR,2022-12-09 20:46:44,-23.9128,-52.3431,77.77,79,96,4.65
182,Kruisfontein,ZA,2022-12-09 20:47:45,-34.0033,24.7314,70.39,71,100,7.54
183,Pailon,BO,2022-12-09 20:47:45,-17.65,-62.75,96.48,33,63,14.29
184,Havre-Saint-Pierre,CA,2022-12-09 20:47:46,50.2334,-63.5986,28.76,86,100,12.66
185,Richards Bay,ZA,2022-12-09 20:47:46,-28.783,32.0377,73.31,90,11,8.01
186,Sabya,SA,2022-12-09 20:47:47,17.1495,42.6254,82.02,71,7,5.08
187,Boa Esperanca Do Sul,BR,2022-12-09 20:47:47,-21.9925,-48.3908,84.42,51,31,8.75
188,Yagoua,CM,2022-12-09 20:47:48,10.3411,15.2329,75.42,20,0,7.31
189,Mercedes,AR,2022-12-09 20:47:48,-34.6515,-59.4307,84.02,50,100,7.74
190,Yelatma,RU,2022-12-09 20:47:49,54.9675,41.7508,26.87,96,100,11.79
191,Bilma,NE,2022-12-09 20:47:49,18.6853,12.9164,68.45,17,0,4.18
192,Bela,IN,2022-12-09 20:47:49,25.9333,81.9833,58.57,43,5,1.43
193,Narsaq,GL,2022-12-09 20:47:50,60.9167,-46.05,19.62,72,0,7.63
194,Maldonado,UY,2022-12-09 20:47:26,-34.6667,-54.9167,97.99,32,0,9.53
195,Bonavista,CA,2022-12-09 20:47:51,48.6499,-53.1147,37.47,89,89,12.82
196,Itaueira,BR,2022-12-09 20:47:51,-7.6033,-43.0256,84.22,46,90,4.05
197,Kuznetsk,RU,2022-12-09 20:47:51,53.1167,46.6004,18.01,66,100,15.79
198,Sao Joao Do Piaui,BR,2022-12-09 20:47:52,-8.3581,-42.2467,86.09,31,35,2.44
199,Potosi,BO,2022-12-09 20:47:52,-19.5836,-65.7531,58.39,37,71,20.49
200,Nueva Loja,EC,2022-12-09 20:47:53,0.0847,-76.8828,87.82,58,40,2.3
201,Harper,LR,2022-12-09 20:47:53,4.375,-7.7169,79.07,83,1,7.78
