City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
268,Namwala,ZM,-15.7504,26.4384,67.71,79,15,4.38,few clouds
269,Abu Samrah,SY,35.3029,37.1841,51.87,83,53,8.48,broken clouds
270,Oktyabrskiy,RU,54.4815,53.471,6.94,85,5,4.47,clear sky
271,Mbour,SN,14.422,-16.9638,77.85,48,0,9.17,clear sky
272,Belmonte,BR,-15.8631,-38.8828,77.95,87,82,13.33,broken clouds
273,Buraydah,SA,26.326,43.975,64.85,39,37,5.26,scattered clouds
274,Horki,BY,54.2861,30.9842,24.53,89,100,8.57,overcast clouds
275,Moen,NO,69.1304,18.6123,-3.28,84,0,0.0,clear sky
276,Nuuk,GL,64.1835,-51.7216,17.69,91,95,6.49,overcast clouds
277,Jadu,LY,31.953,12.0261,63.18,47,64,10.83,broken clouds
278,Scarborough,GB,54.2797,-0.4044,26.78,92,48,1.01,scattered clouds
279,Longyearbyen,SJ,78.2186,15.6401,-2.36,65,75,13.8,broken clouds
280,Goure,NE,13.9835,10.2704,67.14,12,12,8.32,few clouds
281,Gachala,CO,4.6924,-73.5204,63.09,98,95,1.92,overcast clouds
282,Hofn,IS,64.2539,-15.2082,22.05,59,8,14.58,clear sky
283,Hauterive,FR,46.0901,3.4459,34.56,96,84,4.99,broken clouds
284,Dehloran,IR,32.6941,47.2679,62.06,43,100,8.99,overcast clouds
285,Selb,DE,50.1706,12.1305,22.3,92,100,5.32,overcast clouds
286,Mezen,RU,65.8522,44.24,20.08,95,100,8.59,light snow
287,Port Shepstone,ZA,-30.7414,30.455,73.83,91,97,19.3,overcast clouds
288,Ayni,TJ,39.3941,68.5377,21.69,61,22,7.45,few clouds
289,Cham,DE,49.245,12.6825,23.13,90,100,3.53,overcast clouds
290,Zarand,IR,30.8127,56.564,45.54,42,0,0.18,clear sky
291,Bukama,CD,-9.2,25.85,68.38,98,100,1.57,moderate rain
292,Road Town,VG,18.4167,-64.6167,78.89,65,20,3.44,few clouds
293,Sabla,NG,12.7525,4.7077,72.07,12,36,9.48,scattered clouds
294,Sirpur,IN,19.4833,79.6,70.61,85,6,2.73,clear sky
295,Kibala,TD,9.1104,18.3463,67.95,68,0,0.0,clear sky
296,Surt,LY,31.2089,16.5887,69.24,51,51,9.8,broken clouds
297,Moncao,PT,42.0789,-8.4808,61.14,98,87,6.22,overcast clouds
298,Gat,IL,31.61,34.7642,63.39,100,62,6.6,broken clouds
299,Springdale,US,36.1867,-94.1288,57.83,95,75,10.36,broken clouds
300,Sorland,NO,67.667,12.6934,33.66,69,100,14.27,light snow
301,Upington,ZA,-28.4478,21.2561,79.18,36,38,3.44,scattered clouds
302,Bedele,ET,8.456,36.353,55.81,86,90,2.98,overcast clouds
303,Sakakah,SA,29.9697,40.2064,63.97,36,100,4.21,overcast clouds
304,Rafaela,AR,-31.2503,-61.4867,86.99,16,0,5.46,clear sky
305,Ayagoz,KZ,47.9714,80.4392,10.38,93,100,3.83,overcast clouds
306,Rawson,AR,-43.3002,-65.1023,65.73,50,52,14.16,broken clouds
307,Sao Sebastiao,BR,-23.76,-45.4097,70.34,87,100,8.21,overcast clouds
308,Maroantsetra,MG,-15.4333,49.7333,73.24,84,67,1.39,broken clouds
309,Nandikotkur,IN,15.8667,78.2667,69.94,91,15,5.08,few clouds
310,Oyem,GA,1.5995,11.5793,68.25,95,89,2.01,overcast clouds
311,Plettenberg Bay,ZA,-34.0527,23.3716,66.42,92,16,5.57,few clouds
312,Yar-Sale,RU,66.8333,70.8333,-3.19,89,100,14.67,overcast clouds
313,Valparaiso,CL,-33.0393,-71.6273,84.43,56,0,10.36,clear sky
314,Benicarlo,ES,40.4165,0.4271,62.56,93,79,2.71,broken clouds
315,Narsaq,GL,60.9167,-46.05,9.01,66,73,7.9,broken clouds
316,Defiance,US,41.3334,-84.45,36.07,66,99,10.16,overcast clouds
317,Umm Kaddadah,SD,13.6017,26.6876,65.16,16,91,11.16,overcast clouds
318,Junnar,IN,19.2,73.8833,70.56,80,88,5.32,overcast clouds
319,Bonthe,SL,7.5264,-12.505,79.52,82,1,6.4,clear sky
320,Bogo,PH,11.0517,124.0055,77.94,88,43,5.57,scattered clouds
321,Gharo,PK,24.7424,67.5856,68.22,25,0,16.11,clear sky
322,Korla,CN,41.7597,86.1469,17.78,72,3,5.59,clear sky
323,Sozimskiy,RU,59.7418,52.2482,16.45,82,34,9.22,scattered clouds
324,Royan,FR,45.6285,-1.0281,41.83,96,100,10.92,overcast clouds
325,Najran,SA,17.4924,44.1277,57.85,55,2,2.8,clear sky
326,Forio,IT,40.7342,13.8646,58.82,94,100,3.0,overcast clouds
327,Bekhtery,UA,46.251,32.2927,33.48,74,38,8.79,scattered clouds
328,Vondrozo,MG,-22.8167,47.2833,65.66,95,100,0.83,light rain
329,Nisia Floresta,BR,-6.0911,-35.2086,81.41,78,16,10.25,few clouds
330,Zadonsk,RU,52.3904,38.9261,28.08,96,100,23.06,snow
331,Kango,GA,0.1943,10.0951,74.53,95,100,1.99,moderate rain
332,Mecca,SA,21.4267,39.8261,74.71,68,2,2.62,clear sky
333,Bereznik,RU,62.8551,42.7072,29.17,92,100,9.69,overcast clouds
334,Ordu,TR,40.9086,37.6845,41.5,92,100,2.46,overcast clouds
335,Galdar,ES,28.147,-15.6502,71.35,71,0,3.74,clear sky
336,Wagar,SD,16.1525,36.2032,74.43,62,8,8.43,clear sky
337,Maniitsoq,GL,65.4167,-52.9,18.97,79,99,8.16,overcast clouds
338,Yahotyn,UA,50.2798,31.7625,27.64,91,100,16.69,light snow
339,Hambantota,LK,6.1241,81.1185,73.74,100,20,2.3,few clouds
340,Opuwo,NA,-18.0607,13.84,67.3,29,74,4.81,broken clouds
341,Kumo,NG,10.0447,11.2122,74.34,20,84,6.26,broken clouds
342,Veraval,IN,20.9,70.3667,77.45,62,54,11.7,broken clouds
343,Nova Prata,BR,-28.7839,-51.61,68.59,52,0,5.5,clear sky
344,Itarema,BR,-2.9248,-39.9167,79.48,75,8,13.29,clear sky
345,Campos Gerais,BR,-21.235,-45.7586,66.36,96,100,4.76,moderate rain
346,Puerto Ayora,EC,-0.7393,-90.3518,78.76,89,81,5.01,broken clouds
347,Bengkulu,ID,-3.8004,102.2655,73.26,91,100,6.62,overcast clouds
348,Vila Do Maio,CV,15.1333,-23.2167,77.79,78,2,8.57,clear sky
